draw_date,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2024-01-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-01-2024,parsed_no_machine_fields,2026-06-04T15:10:18.929841+00:00
2024-01-16,,,,,,,,,,https://www.lottery.co.uk/euromillions/results-16-01-2024,"error: HTTPSConnectionPool(host='www.lottery.co.uk', port=443): Read timed out. (read timeout=20)",2026-06-04T15:10:19.525740+00:00
2024-01-19,,,19,,,,,,,https://www.lottery.co.uk/euromillions/results-19-01-2024,parsed_no_machine_fields,2026-06-04T15:10:40.014157+00:00
2024-01-23,,,23,,,,,,,https://www.lottery.co.uk/euromillions/results-23-01-2024,parsed_no_machine_fields,2026-06-04T15:10:40.532038+00:00
2024-01-26,,,26,,,,,,,https://www.lottery.co.uk/euromillions/results-26-01-2024,parsed_no_machine_fields,2026-06-04T15:10:41.026282+00:00
2024-01-30,,,30,,,,,,,https://www.lottery.co.uk/euromillions/results-30-01-2024,parsed_no_machine_fields,2026-06-04T15:10:41.595074+00:00
2024-02-02,,,2,,,,,,,https://www.lottery.co.uk/euromillions/results-02-02-2024,parsed_no_machine_fields,2026-06-04T15:10:42.171379+00:00
2024-02-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-02-2024,parsed_no_machine_fields,2026-06-04T15:10:42.720090+00:00
2024-02-09,,,9,,,,,,,https://www.lottery.co.uk/euromillions/results-09-02-2024,parsed_no_machine_fields,2026-06-04T15:10:43.335701+00:00
2024-02-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-02-2024,parsed_no_machine_fields,2026-06-04T15:10:43.916480+00:00
2024-02-16,,,16,,,,,,,https://www.lottery.co.uk/euromillions/results-16-02-2024,parsed_no_machine_fields,2026-06-04T15:10:44.422421+00:00
2024-02-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-02-2024,parsed_no_machine_fields,2026-06-04T15:10:44.925174+00:00
2024-02-23,,,23,,,,,,,https://www.lottery.co.uk/euromillions/results-23-02-2024,parsed_no_machine_fields,2026-06-04T15:10:45.414890+00:00
2024-02-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-02-2024,parsed_no_machine_fields,2026-06-04T15:10:45.928218+00:00
2024-03-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-03-2024,parsed_no_machine_fields,2026-06-04T15:10:46.405067+00:00
2024-03-05,,,5,,,,,,,https://www.lottery.co.uk/euromillions/results-05-03-2024,parsed_no_machine_fields,2026-06-04T15:10:46.929997+00:00
2024-03-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-03-2024,parsed_no_machine_fields,2026-06-04T15:10:47.432193+00:00
2024-03-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-03-2024,parsed_no_machine_fields,2026-06-04T15:10:47.936786+00:00
2024-03-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-03-2024,parsed_no_machine_fields,2026-06-04T15:10:48.559518+00:00
2024-03-19,,,19,,,,,,,https://www.lottery.co.uk/euromillions/results-19-03-2024,parsed_no_machine_fields,2026-06-04T15:10:49.143398+00:00
2024-03-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-03-2024,parsed_no_machine_fields,2026-06-04T15:10:49.685088+00:00
2024-03-26,,,26,,,,,,,https://www.lottery.co.uk/euromillions/results-26-03-2024,parsed_no_machine_fields,2026-06-04T15:10:50.288439+00:00
2024-03-29,,,29,,,,,,,https://www.lottery.co.uk/euromillions/results-29-03-2024,parsed_no_machine_fields,2026-06-04T15:10:50.817052+00:00
2024-04-02,,,2,,,,,,,https://www.lottery.co.uk/euromillions/results-02-04-2024,parsed_no_machine_fields,2026-06-04T15:10:51.306620+00:00
2024-04-05,,,5,,,,,,,https://www.lottery.co.uk/euromillions/results-05-04-2024,parsed_no_machine_fields,2026-06-04T15:10:51.799716+00:00
2024-04-09,,,9,,,,,,,https://www.lottery.co.uk/euromillions/results-09-04-2024,parsed_no_machine_fields,2026-06-04T15:10:52.303949+00:00
2024-04-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-04-2024,parsed_no_machine_fields,2026-06-04T15:10:52.786380+00:00
2024-04-16,,,16,,,,,,,https://www.lottery.co.uk/euromillions/results-16-04-2024,parsed_no_machine_fields,2026-06-04T15:10:53.308861+00:00
