draw_date,actual_zone_signature,Missing-pattern top zone signatures,Most-common top zone signatures,Random signature baseline estimate,Hybrid 70 common / 30 missing,Hybrid 60 common / 40 missing,Hybrid 50 common / 50 missing
2007-12-14,1-0-2-1-1,False,False,0.12658227848101267,False,False,False
2007-12-21,2-0-1-1-1,False,False,0.12658227848101267,False,False,False
2007-12-28,0-1-2-1-1,True,False,0.12658227848101267,False,False,False
2008-01-04,1-1-2-0-1,False,False,0.12658227848101267,False,False,False
2008-01-11,1-0-1-1-2,False,True,0.12658227848101267,False,False,False
2008-01-18,0-2-1-1-1,False,True,0.12658227848101267,True,False,False
2008-01-25,3-1-0-0-1,False,False,0.12658227848101267,False,False,False
2008-02-01,0-0-2-0-3,False,False,0.125,False,False,False
2008-02-08,0-1-2-1-1,False,False,0.125,False,False,False
2008-02-15,0-1-2-0-2,False,False,0.125,False,False,False
2008-02-22,1-0-1-1-2,False,True,0.125,True,False,False
2008-02-29,0-1-0-2-2,False,False,0.125,False,False,False
2008-03-07,2-2-0-1-0,False,False,0.12345679012345678,False,False,False
2008-03-14,0-1-2-1-1,False,False,0.12345679012345678,False,False,False
2008-03-21,2-1-1-1-0,False,False,0.12345679012345678,False,False,False
2008-03-28,2-1-1-1-0,False,True,0.12345679012345678,True,False,False
2008-04-04,0-3-0-1-1,False,False,0.12345679012345678,False,False,False
2008-04-11,1-0-2-0-2,True,False,0.12345679012345678,True,True,True
2008-04-18,3-0-1-0-1,False,False,0.12345679012345678,False,False,False
2008-04-25,1-1-3-0-0,False,False,0.12345679012345678,False,False,False
2008-05-02,1-0-1-1-2,False,True,0.12345679012345678,True,True,False
2008-05-09,2-0-0-1-2,False,False,0.12345679012345678,False,False,False
2008-05-16,2-1-1-1-0,False,True,0.12345679012345678,True,True,False
2008-05-23,2-1-1-1-0,False,True,0.12345679012345678,True,True,True
2008-05-30,2-2-0-0-1,True,True,0.12345679012345678,True,True,True
2008-06-06,1-1-1-1-1,True,True,0.12345679012345678,True,True,True
2008-06-13,0-2-0-1-2,False,False,0.12345679012345678,False,False,False
2008-06-20,1-1-0-2-1,False,False,0.12345679012345678,False,False,False
2008-06-27,1-1-1-0-2,True,False,0.12345679012345678,False,False,False
2008-07-04,1-1-2-0-1,False,False,0.12345679012345678,False,False,False
2008-07-11,1-3-0-1-0,False,False,0.12345679012345678,False,False,False
2008-07-18,1-2-1-0-1,False,False,0.12345679012345678,False,False,False
2008-07-25,1-2-2-0-0,False,False,0.12345679012345678,False,False,False
2008-08-01,1-0-2-1-1,False,False,0.12345679012345678,False,False,False
2008-08-08,2-2-0-0-1,False,True,0.12345679012345678,True,True,True
2008-08-15,0-3-1-1-0,False,False,0.12345679012345678,False,False,False
2008-08-22,1-0-2-1-1,False,False,0.12345679012345678,False,False,False
2008-08-29,1-1-1-2-0,False,False,0.12345679012345678,False,False,False
2008-09-05,1-3-0-1-0,False,False,0.12345679012345678,False,False,False
2008-09-12,0-1-1-2-1,False,False,0.12345679012345678,False,False,False
2008-09-19,0-4-0-1-0,False,False,0.12345679012345678,False,False,False
2008-09-26,0-1-1-3-0,False,False,0.12195121951219512,False,False,False
2008-10-03,1-2-1-1-0,False,False,0.12195121951219512,False,False,False
2008-10-10,1-1-1-1-1,True,True,0.12195121951219512,True,True,True
2008-10-17,2-1-0-0-2,False,False,0.12195121951219512,False,False,False
2008-10-24,1-3-0-0-1,False,False,0.12195121951219512,False,False,False
2008-10-31,1-1-1-1-1,False,True,0.12195121951219512,True,True,True
2008-11-07,2-3-0-0-0,False,False,0.12195121951219512,False,False,False
2008-11-14,2-1-2-0-0,False,False,0.12048192771084337,False,False,False
2008-11-21,1-1-1-0-2,False,False,0.12048192771084337,False,False,False
2008-11-28,1-2-1-0-1,False,False,0.12048192771084337,False,False,False
2008-12-05,2-0-1-1-1,False,False,0.12048192771084337,False,False,False
2008-12-12,1-1-1-0-2,False,False,0.12048192771084337,False,False,False
2008-12-19,0-0-2-1-2,False,False,0.12048192771084337,False,False,False
2008-12-26,2-0-1-0-2,True,False,0.12048192771084337,False,False,False
2009-01-02,0-0-2-2-1,False,False,0.12048192771084337,False,False,False
2009-01-09,1-1-2-0-1,False,True,0.12048192771084337,True,False,False
2009-01-16,1-1-1-0-2,False,True,0.12048192771084337,False,False,False
2009-01-23,0-0-0-4-1,False,False,0.12048192771084337,False,False,False
2009-01-30,1-0-1-2-1,True,True,0.11904761904761904,True,True,True
2009-02-06,1-1-1-2-0,False,False,0.11904761904761904,False,False,False
