draw_date,n1,n2,n3,n4,n5,s1,s2,source_year,era,era_code,main_pool,star_pool,era_weight,main_numbers,star_numbers,zone_signature,star_zone_signature,sum,odd_count,even_count,low_count,high_count,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2004-02-13,16,29,32,36,41,7,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[16, 29, 32, 36, 41]","[7, 9]",0-1-1-2-1,0-1-1,154,2,3,1,4,,,,,,,,,,,,
2004-02-20,7,13,39,47,50,2,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[7, 13, 39, 47, 50]","[2, 5]",1-1-0-1-2,1-1-0,156,4,1,2,3,,,,,,,,,,,,
2004-02-27,14,18,19,31,37,4,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[14, 18, 19, 31, 37]","[4, 5]",0-3-0-2-0,1-1-0,119,3,2,3,2,,,,,,,,,,,,
2004-03-05,4,7,33,37,39,1,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 7, 33, 37, 39]","[1, 5]",2-0-0-3-0,1-1-0,120,4,1,2,3,,,,,,,,,,,,
2004-03-12,15,24,28,44,47,4,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 24, 28, 44, 47]","[4, 5]",0-1-2-0-2,1-1-0,158,2,3,2,3,,,,,,,,,,,,
2004-03-19,33,36,37,42,45,4,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[33, 36, 37, 42, 45]","[4, 9]",0-0-0-3-2,1-0-1,193,3,2,0,5,,,,,,,,,,,,
2004-03-26,3,4,10,23,43,2,4,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 4, 10, 23, 43]","[2, 4]",3-0-1-0-1,2-0-0,83,3,2,4,1,,,,,,,,,,,,
2004-04-02,4,12,24,27,36,2,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 12, 24, 27, 36]","[2, 9]",1-1-2-1-0,1-0-1,103,1,4,3,2,,,,,,,,,,,,
2004-04-09,1,4,10,19,23,2,8,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 4, 10, 19, 23]","[2, 8]",3-1-1-0-0,1-1-0,57,3,2,5,0,,,,,,,,,,,,
2004-04-16,14,15,28,35,40,1,3,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[14, 15, 28, 35, 40]","[1, 3]",0-2-1-2-0,2-0-0,132,2,3,2,3,,,,,,,,,,,,
2004-04-23,6,10,21,45,49,3,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 10, 21, 45, 49]","[3, 5]",2-0-1-0-2,1-1-0,131,3,2,3,2,,,,,,,,,,,,
2004-04-30,5,6,16,23,27,6,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[5, 6, 16, 23, 27]","[6, 7]",2-1-2-0-0,0-2-0,77,3,2,4,1,,,,,,,,,,,,
2004-05-07,15,16,21,36,38,1,5,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 16, 21, 36, 38]","[1, 5]",0-2-1-2-0,1-1-0,126,2,3,3,2,,,,,,,,,,,,
2004-05-14,1,3,21,32,39,2,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[1, 3, 21, 32, 39]","[2, 6]",2-0-1-2-0,1-1-0,96,4,1,3,2,,,,,,,,,,,,
2004-05-21,15,29,37,39,49,4,9,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[15, 29, 37, 39, 49]","[4, 9]",0-1-1-2-1,1-0-1,169,5,0,1,4,,,,,,,,,,,,
2004-05-28,6,11,35,41,44,5,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[6, 11, 35, 41, 44]","[5, 6]",1-1-0-1-2,0-2-0,137,3,2,2,3,,,,,,,,,,,,
2004-06-04,9,13,34,41,42,3,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[9, 13, 34, 41, 42]","[3, 7]",1-1-0-1-2,1-1-0,139,3,2,2,3,,,,,,,,,,,,
2004-06-11,2,7,8,10,47,1,7,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 7, 8, 10, 47]","[1, 7]",4-0-0-0-1,1-1-0,74,2,3,4,1,,,,,,,,,,,,
2004-06-18,2,23,28,40,43,2,6,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[2, 23, 28, 40, 43]","[2, 6]",1-0-2-1-1,1-1-0,136,2,3,2,3,,,,,,,,,,,,
2004-06-25,3,21,30,34,35,1,2,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[3, 21, 30, 34, 35]","[1, 2]",1-0-2-2-0,2-0-0,123,3,2,2,3,,,,,,,,,,,,
2004-07-02,4,23,24,28,34,1,3,2004,Era 1: 2004-2011,era_1,50,9,0.25,"[4, 23, 24, 28, 34]","[1, 3]",1-0-3-1-0,2-0-0,113,1,4,3,2,,,,,,,,,,,,
