source_year,source_file,Datum,Spelers,Inzet,P-R1,W-R1,P-R2,W-R2,P-R3,W-R3,P-R4,W-R4,P-R5,W-R5,P-R6,W-R6,P-R7,W-R7,P-R8,W-R8,P-R9,W-R9,P-R10,W-R10,P-R11,W-R11,P-R12,W-R12,P-R13,W-R13
2004,euromillions-financialdata-NL-2004.csv,2004-12-31,359505,"2697718,00",0,"0,00",1,"213961,60",1,"60718,80",2,"8261,00",63,"296,50",70,"132,20",133,"113,40",2477,"29,90",1730,"33,90",3776,"18,30",8618,"14,90",39207,"8,90",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-24,347685,"2514450,00",0,"10000000,00",0,"0,00",0,"431942,20",1,"6314,90",54,"278,20",56,"137,70",136,"90,30",2760,"26,80",2224,"25,50",3873,"18,50",10335,"11,10",40694,"8,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-17,303811,"2188656,00",0,"26215627,00",1,"298427,70",0,"254066,80",0,"7561,50",24,"326,50",29,"150,90",96,"104,10",1445,"33,60",1584,"28,80",2122,"20,30",9577,"11,90",25226,"9,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-10,308585,"2160550,00",0,"0,00",0,"822799,30",0,"58374,20",4,"4905,40",42,"231,60",75,"95,00",195,"64,00",2562,"22,30",2578,"20,50",3962,"13,00",13034,"9,30",32701,"8,10",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-12-03,314745,"2196508,00",0,"0,00",0,"400964,30",0,"113787,10",4,"7067,50",38,"313,20",50,"141,70",82,"107,30",1769,"31,40",1602,"28,00",2636,"18,60",8753,"11,70",27488,"9,20",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-26,381224,"2916412,00",0,"43756502,00",0,"492365,30",0,"87328,30",4,"6566,00",48,"317,10",64,"131,90",124,"94,80",2438,"31,50",1992,"27,30",3729,"17,90",11357,"11,70",35280,"9,90",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-19,339732,"2494264,00",0,"0,00",0,"0,00",0,"807419,90",5,"7082,60",66,"346,40",91,"149,70",203,"84,00",2488,"36,10",2879,"23,10",3830,"20,90",14664,"8,90",33037,"10,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-12,302913,"2145680,00",0,"0,00",0,"384714,20",0,"72783,70",4,"4520,70",36,"207,10",71,"88,00",160,"67,20",2518,"21,80",2218,"21,90",3914,"13,10",11371,"10,20",34089,"7,60",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-11-05,284619,"1942874,00",0,"0,00",0,"0,00",0,"918290,10",1,"8055,10",36,"303,40",51,"141,20",130,"98,50",1599,"32,90",1666,"28,50",2460,"19,90",8495,"12,30",24066,"10,10",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-29,276920,"1869062,00",0,"0,00",0,"349475,00",0,"99175,30",6,"6746,60",26,"443,40",30,"186,20",98,"98,30",1254,"37,40",1612,"26,70",2104,"21,00",9006,"10,60",21267,"10,50",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-22,277247,"1947168,00",0,"25059130,00",0,"123757,40",0,"35120,30",2,"4658,80",42,"164,50",47,"90,10",113,"69,70",1924,"23,00",1912,"22,90",2807,"15,30",9339,"10,70",28525,"8,20",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-15,278357,"1850746,00",0,"0,00",0,"719157,60",0,"204085,20",4,"5399,00",35,"296,70",31,"154,90",196,"71,80",1872,"30,40",2387,"18,70",2390,"21,40",11842,"7,70",25626,"9,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-08,276198,"1800416,00",0,"0,00",0,"0,00",0,"860114,80",6,"5029,90",28,"231,50",50,"105,90",118,"66,10",1631,"26,40",1847,"20,50",2758,"15,00",10124,"9,10",23293,"8,80",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-10-01,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-24,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-17,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-10,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-09-03,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-27,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-20,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-13,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-08-06,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-30,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-23,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-16,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-09,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
2004,euromillions-financialdata-NL-2004.csv,2004-07-02,0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
