source_year,rows,columns,source_file,status
2004,47,29,euromillions-financialdata-NL-2004.csv,ok
2005,52,29,euromillions-financialdata-NL-2005.csv,ok
2006,52,29,euromillions-financialdata-NL-2006.csv,ok
2007,52,29,euromillions-financialdata-NL-2007.csv,ok
2008,52,29,euromillions-financialdata-NL-2008.csv,ok
2009,52,29,euromillions-financialdata-NL-2009.csv,ok
2010,53,29,euromillions-financialdata-NL-2010.csv,ok
2011,86,29,euromillions-financialdata-NL-2011.csv,ok
2012,104,29,euromillions-financialdata-NL-2012.csv,ok
2013,105,29,euromillions-financialdata-NL-2013.csv,ok
2014,104,29,euromillions-financialdata-NL-2014.csv,ok
2015,104,29,euromillions-financialdata-NL-2015.csv,ok
2016,105,29,euromillions-financialdata-NL-2016.csv,ok
2017,104,29,euromillions-financialdata-NL-2017.csv,ok
2018,104,29,euromillions-financialdata-NL-2018.csv,ok
2019,105,29,euromillions-financialdata-NL-2019.csv,ok
2020,104,29,euromillions-financialdata-NL-2020.csv,ok
2021,105,29,euromillions-financialdata-NL-2021.csv,ok
2022,104,29,euromillions-financialdata-NL-2022.csv,ok
2023,104,29,euromillions-financialdata-NL-2023.csv,ok
2024,105,29,euromillions-financialdata-NL-2024.csv,ok
2025,104,29,euromillions-financialdata-NL-2025.csv,ok
2026,54,29,euromillions-financialdata-NL-2026.csv,ok
