draw_date,strategy,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
2025-12-05,Era 3 diversified random,2,1,True,False,False
2025-12-05,Pat-alyzer v2 scored,1,1,False,False,False
2025-12-05,Hybrid-zone only,2,1,True,False,True
2025-12-05,Most-common-zone only,2,2,True,False,True
2025-12-05,Pure random,3,1,True,True,False
2025-12-09,Era 3 diversified random,1,1,False,False,False
2025-12-09,Pat-alyzer v2 scored,1,2,False,False,False
2025-12-09,Hybrid-zone only,1,1,False,False,False
2025-12-09,Most-common-zone only,1,1,False,False,False
2025-12-09,Pure random,1,2,False,False,False
2025-12-12,Era 3 diversified random,2,2,True,False,True
2025-12-12,Pat-alyzer v2 scored,2,1,True,False,True
2025-12-12,Hybrid-zone only,2,1,True,False,True
2025-12-12,Most-common-zone only,2,1,True,False,False
2025-12-12,Pure random,3,2,True,True,True
2025-12-16,Era 3 diversified random,2,1,True,False,True
2025-12-16,Pat-alyzer v2 scored,1,1,False,False,False
2025-12-16,Hybrid-zone only,2,1,True,False,False
2025-12-16,Most-common-zone only,2,1,True,False,True
2025-12-16,Pure random,2,2,True,False,True
2025-12-19,Era 3 diversified random,1,1,False,False,False
2025-12-19,Pat-alyzer v2 scored,2,1,True,False,False
2025-12-19,Hybrid-zone only,2,1,True,False,True
2025-12-19,Most-common-zone only,2,2,True,False,True
2025-12-19,Pure random,1,1,False,False,False
2025-12-23,Era 3 diversified random,1,1,False,False,False
2025-12-23,Pat-alyzer v2 scored,1,1,False,False,False
2025-12-23,Hybrid-zone only,1,1,False,False,False
2025-12-23,Most-common-zone only,1,1,False,False,False
2025-12-23,Pure random,1,1,False,False,False
2025-12-26,Era 3 diversified random,2,1,True,False,True
2025-12-26,Pat-alyzer v2 scored,2,1,True,False,False
2025-12-26,Hybrid-zone only,2,1,True,False,False
2025-12-26,Most-common-zone only,3,1,True,True,True
2025-12-26,Pure random,1,1,False,False,False
2025-12-30,Era 3 diversified random,1,1,False,False,False
2025-12-30,Pat-alyzer v2 scored,1,2,False,False,False
2025-12-30,Hybrid-zone only,0,2,False,False,False
2025-12-30,Most-common-zone only,1,1,False,False,False
2025-12-30,Pure random,1,1,False,False,False
2026-01-02,Era 3 diversified random,1,1,False,False,False
2026-01-02,Pat-alyzer v2 scored,0,1,False,False,False
