window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 60 draws,2025-11-21,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2025-11-21,Pat-alyzer v2 scored,1200,1,2,False,False,False
Last 60 draws,2025-11-21,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-21,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-21,Pure random,1200,1,1,False,False,False
Last 60 draws,2025-11-25,Era 3 diversified random,1200,2,2,True,False,False
Last 60 draws,2025-11-25,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2025-11-25,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-25,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-25,Pure random,1200,1,2,False,False,False
Last 60 draws,2025-11-28,Era 3 diversified random,1200,3,1,True,True,True
Last 60 draws,2025-11-28,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2025-11-28,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-28,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2025-11-28,Pure random,1200,2,1,True,False,False
Last 60 draws,2025-12-02,Era 3 diversified random,1200,2,2,True,False,True
Last 60 draws,2025-12-02,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2025-12-02,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-12-02,Most-common-zone only,1200,2,1,True,False,True
Last 60 draws,2025-12-02,Pure random,1200,1,1,False,False,False
Last 60 draws,2025-12-05,Era 3 diversified random,1200,2,1,True,False,False
Last 60 draws,2025-12-05,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2025-12-05,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-12-05,Most-common-zone only,1200,2,1,True,False,False
Last 60 draws,2025-12-05,Pure random,1200,3,1,True,True,True
Last 60 draws,2025-12-09,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2025-12-09,Pat-alyzer v2 scored,1200,2,1,True,False,True
Last 60 draws,2025-12-09,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2025-12-09,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2025-12-09,Pure random,1200,1,2,False,False,False
Last 60 draws,2025-12-12,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2025-12-12,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2025-12-12,Hybrid-zone only,1200,2,1,True,False,False
Last 60 draws,2025-12-12,Most-common-zone only,1200,2,1,True,False,False
Last 60 draws,2025-12-12,Pure random,1200,1,1,False,False,False
