window,strategy,draws_tested,sample_size,avg_best_main_matches,avg_best_star_matches,hit_2_main_or_better_rate,hit_3_main_or_better_rate,hit_2_main_plus_1_star_or_better_rate
Last 60 draws,Pure random,60,1200,1.45,1.1667,0.45,0.0333,0.25
Last 60 draws,Era 3 diversified random,60,1200,1.4667,1.1167,0.4167,0.05,0.2
Last 60 draws,Hybrid-zone only,60,1200,1.1667,1.0667,0.2667,0.0167,0.1667
Last 60 draws,Most-common-zone only,60,1200,1.1667,1.1167,0.3,0.0333,0.1333
Last 60 draws,Pat-alyzer v2 scored,60,1200,1.1833,1.15,0.2833,0.0167,0.1
Last 150 draws,Pat-alyzer v2 scored,150,800,1.3333,1.1133,0.4133,0.0533,0.2133
Last 150 draws,Hybrid-zone only,150,800,1.2667,1.0933,0.34,0.0467,0.2
Last 150 draws,Pure random,150,800,1.4667,1.14,0.42,0.04,0.18
Last 150 draws,Era 3 diversified random,150,800,1.5333,1.1733,0.4667,0.0667,0.1667
Last 150 draws,Most-common-zone only,150,800,1.2333,1.1067,0.3267,0.04,0.16
Last 250 draws,Pure random,250,600,1.512,1.164,0.468,0.056,0.216
Last 250 draws,Hybrid-zone only,250,600,1.3,1.132,0.356,0.044,0.208
Last 250 draws,Era 3 diversified random,250,600,1.52,1.128,0.496,0.04,0.176
Last 250 draws,Most-common-zone only,250,600,1.288,1.108,0.372,0.04,0.156
Last 250 draws,Pat-alyzer v2 scored,250,600,1.188,1.116,0.3,0.028,0.148
Era 3 full,Pure random,1018,350,1.556,1.1218,0.5079,0.0589,0.2063
Era 3 full,Era 3 diversified random,1018,350,1.5501,1.1218,0.502,0.0521,0.1925
Era 3 full,Pat-alyzer v2 scored,1018,350,1.3301,1.1356,0.3811,0.0344,0.167
Era 3 full,Hybrid-zone only,1018,350,1.3035,1.1198,0.3536,0.0393,0.1631
Era 3 full,Most-common-zone only,1018,350,1.3153,1.1228,0.3694,0.0314,0.1621
