zone_signature,historical_rate,recent_rate,missing_score,hybrid_score
1-2-1-0-1,0.0252,0.0,0.0252,0.025243
2-1-1-0-1,0.0243,0.0,0.0243,0.024272
1-1-1-1-1,0.0398,0.04,0.0,0.023883
0-1-1-1-2,0.0233,0.0,0.0233,0.023301
2-1-0-1-1,0.0223,0.0,0.0223,0.02233
1-1-0-1-2,0.0301,0.02,0.0101,0.022097
1-1-0-2-1,0.0204,0.0,0.0204,0.020388
0-1-1-2-1,0.0282,0.02,0.0082,0.020155
1-1-2-0-1,0.0194,0.0,0.0194,0.019417
1-1-1-0-2,0.0194,0.0,0.0194,0.019417
1-0-2-1-1,0.0272,0.02,0.0072,0.019184
1-0-1-2-1,0.0184,0.0,0.0184,0.018447
1-1-1-2-0,0.0252,0.02,0.0052,0.017243
1-2-0-1-1,0.0272,0.06,0.0,0.016311
2-1-1-1-0,0.0155,0.0,0.0155,0.015534
1-1-2-1-0,0.0155,0.0,0.0155,0.015534
0-2-0-1-2,0.0146,0.0,0.0146,0.014563
0-2-1-1-1,0.0214,0.02,0.0014,0.013359
2-0-1-1-1,0.0214,0.04,0.0,0.012816
1-2-2-0-0,0.0126,0.0,0.0126,0.012621
0-2-0-2-1,0.0126,0.0,0.0126,0.012621
0-2-2-1-0,0.0126,0.0,0.0126,0.012621
2-1-0-0-2,0.0126,0.0,0.0126,0.012621
1-0-1-1-2,0.0184,0.04,0.0,0.011068
1-2-1-1-0,0.0184,0.02,0.0,0.011068
2-0-0-2-1,0.0107,0.0,0.0107,0.01068
2-0-1-2-0,0.0107,0.0,0.0107,0.01068
2-2-1-0-0,0.0107,0.0,0.0107,0.01068
2-1-0-2-0,0.0107,0.0,0.0107,0.01068
2-2-0-1-0,0.0097,0.0,0.0097,0.009709
0-2-2-0-1,0.0097,0.0,0.0097,0.009709
1-2-0-0-2,0.0097,0.0,0.0097,0.009709
0-0-2-2-1,0.0146,0.02,0.0,0.008738
0-1-0-2-2,0.0087,0.0,0.0087,0.008738
0-1-2-1-1,0.0146,0.02,0.0,0.008738
0-1-2-0-2,0.0087,0.0,0.0087,0.008738
0-2-1-0-2,0.0146,0.04,0.0,0.008738
1-0-2-0-2,0.0136,0.02,0.0,0.008155
0-1-3-1-0,0.0078,0.0,0.0078,0.007767
2-1-2-0-0,0.0126,0.02,0.0,0.007573
2-0-2-0-1,0.0117,0.02,0.0,0.00699
0-2-1-2-0,0.0068,0.0,0.0068,0.006796
0-1-3-0-1,0.0068,0.0,0.0068,0.006796
0-1-0-3-1,0.0068,0.0,0.0068,0.006796
