zone_signature,historical_rate,recent_rate,missing_score
1-1-1-1-1,0.0456,0.02,0.0256
1-1-0-1-2,0.0246,0.0,0.0246
1-0-1-2-1,0.0236,0.0,0.0236
2-1-0-1-1,0.0215,0.0,0.0215
1-2-1-0-1,0.021,0.0,0.021
1-1-1-2-0,0.021,0.0,0.021
2-1-1-1-0,0.021,0.0,0.021
1-1-1-0-2,0.02,0.0,0.02
1-1-0-2-1,0.0179,0.0,0.0179
1-2-1-1-0,0.0179,0.0,0.0179
1-1-2-1-0,0.0154,0.0,0.0154
0-2-2-1-0,0.0123,0.0,0.0123
0-0-2-2-1,0.0123,0.0,0.0123
0-2-2-0-1,0.0123,0.0,0.0123
2-0-2-0-1,0.0118,0.0,0.0118
0-1-2-0-2,0.0118,0.0,0.0118
2-1-2-0-0,0.0113,0.0,0.0113
1-2-0-0-2,0.0108,0.0,0.0108
2-0-1-0-2,0.0108,0.0,0.0108
0-2-1-2-0,0.0108,0.0,0.0108
2-0-1-2-0,0.0097,0.0,0.0097
2-0-0-2-1,0.0097,0.0,0.0097
2-1-0-2-0,0.0092,0.0,0.0092
2-2-0-1-0,0.0092,0.0,0.0092
0-1-0-2-2,0.0087,0.0,0.0087
1-3-1-0-0,0.0087,0.0,0.0087
0-0-2-1-2,0.0082,0.0,0.0082
0-0-1-2-2,0.0077,0.0,0.0077
2-2-1-0-0,0.0072,0.0,0.0072
0-1-0-3-1,0.0067,0.0,0.0067
0-1-3-1-0,0.0067,0.0,0.0067
2-0-2-1-0,0.0062,0.0,0.0062
0-1-3-0-1,0.0062,0.0,0.0062
1-0-3-1-0,0.0056,0.0,0.0056
3-1-0-0-1,0.0051,0.0,0.0051
0-1-1-3-0,0.0051,0.0,0.0051
1-0-0-1-3,0.0051,0.0,0.0051
0-1-1-0-3,0.0051,0.0,0.0051
1-0-0-2-2,0.0046,0.0,0.0046
1-0-2-1-1,0.0246,0.02,0.0046
1-3-0-0-1,0.0046,0.0,0.0046
3-0-0-1-1,0.0046,0.0,0.0046
3-1-1-0-0,0.0046,0.0,0.0046
1-1-0-0-3,0.0046,0.0,0.0046
0-1-1-2-1,0.0241,0.02,0.0041
0-1-0-1-3,0.0041,0.0,0.0041
1-0-0-3-1,0.0036,0.0,0.0036
2-0-0-3-0,0.0036,0.0,0.0036
1-1-3-0-0,0.0036,0.0,0.0036
0-0-1-1-3,0.0036,0.0,0.0036
0-3-2-0-0,0.0036,0.0,0.0036
0-0-1-3-1,0.0031,0.0,0.0031
0-0-0-4-1,0.0031,0.0,0.0031
3-0-0-0-2,0.0031,0.0,0.0031
3-2-0-0-0,0.0031,0.0,0.0031
2-0-3-0-0,0.0031,0.0,0.0031
0-0-4-0-1,0.0031,0.0,0.0031
2-1-1-0-1,0.0226,0.02,0.0026
2-3-0-0-0,0.0026,0.0,0.0026
0-2-0-0-3,0.0026,0.0,0.0026
3-0-2-0-0,0.0026,0.0,0.0026
0-0-0-2-3,0.0021,0.0,0.0021
0-1-4-0-0,0.0021,0.0,0.0021
1-0-0-4-0,0.0021,0.0,0.0021
0-3-0-0-2,0.0021,0.0,0.0021
1-0-4-0-0,0.0015,0.0,0.0015
0-3-0-2-0,0.0015,0.0,0.0015
0-2-3-0-0,0.0015,0.0,0.0015
1-1-2-0-1,0.0215,0.02,0.0015
0-4-0-0-1,0.0015,0.0,0.0015
0-0-0-3-2,0.0015,0.0,0.0015
0-1-1-1-2,0.021,0.02,0.001
0-0-2-3-0,0.0005,0.0,0.0005
0-0-0-5-0,0.0005,0.0,0.0005
0-0-0-1-4,0.0005,0.0,0.0005
0-0-1-0-4,0.0005,0.0,0.0005
0-1-0-0-4,0.0005,0.0,0.0005
0-0-4-1-0,0.0005,0.0,0.0005
4-0-1-0-0,0.0005,0.0,0.0005
4-0-0-1-0,0.0005,0.0,0.0005
0-4-0-1-0,0.0005,0.0,0.0005
0-2-0-3-0,0.0005,0.0,0.0005
0-2-1-1-1,0.0205,0.02,0.0005
2-0-1-1-1,0.0195,0.02,-0.0005
1-0-1-1-2,0.0185,0.02,-0.0015
0-2-0-1-2,0.0138,0.02,-0.0062
1-0-2-0-2,0.0128,0.02,-0.0072
2-2-0-0-1,0.0113,0.02,-0.0087
2-1-0-0-2,0.0108,0.02,-0.0092
1-2-2-0-0,0.0103,0.02,-0.0097
1-0-1-3-0,0.0097,0.02,-0.0103
0-2-0-2-1,0.0097,0.02,-0.0103
0-1-2-2-0,0.0087,0.02,-0.0113
2-0-0-1-2,0.0082,0.02,-0.0118
0-0-3-1-1,0.0072,0.02,-0.0128
3-0-1-0-1,0.0072,0.02,-0.0128
0-3-0-1-1,0.0067,0.02,-0.0133
0-3-1-1-0,0.0067,0.02,-0.0133
3-1-0-1-0,0.0062,0.02,-0.0138
1-3-0-1-0,0.0056,0.02,-0.0144
0-0-2-0-3,0.0046,0.02,-0.0154
3-0-1-1-0,0.0046,0.02,-0.0154
1-0-3-0-1,0.0046,0.02,-0.0154
1-1-0-3-0,0.0046,0.02,-0.0154
0-3-1-0-1,0.0036,0.02,-0.0164
0-0-3-2-0,0.0031,0.02,-0.0169
0-0-3-0-2,0.0026,0.02,-0.0174
4-0-0-0-1,0.0021,0.02,-0.0179
0-4-1-0-0,0.001,0.02,-0.019
3-0-0-2-0,0.001,0.02,-0.019
0-1-2-1-1,0.0185,0.04,-0.0215
0-2-1-0-2,0.0133,0.04,-0.0267
1-0-2-2-0,0.0092,0.04,-0.0308
1-2-0-2-0,0.0092,0.04,-0.0308
1-0-1-0-3,0.0046,0.04,-0.0354
2-0-0-0-3,0.0031,0.04,-0.0369
1-2-0-1-1,0.0272,0.08,-0.0528
