updated_at,version,latest_draw_date,draw_count,active_model
2026-06-04T19:14:01.743536+00:00,v7-exports-metadata-tracking,2026-06-02,1951,Era 3 diversified random
2026-06-06T00:01:38.640501+00:00,v8-high-priority-validation-ops,2026-06-02,1951,Era 3 diversified random
2026-06-08T10:57:26.773155+00:00,v8-high-priority-validation-ops,2026-06-05,1952,Era 3 diversified random
2026-06-10T00:08:02.981430+00:00,v8-high-priority-validation-ops,2026-06-09,1953,Era 3 diversified random
2026-06-13T00:15:56.832216+00:00,v8-high-priority-validation-ops,2026-06-12,1954,Era 3 diversified random
2026-06-17T00:13:04.239656+00:00,v8-high-priority-validation-ops,2026-06-16,1955,Era 3 diversified random
2026-06-19T23:51:45.057147+00:00,v8-high-priority-validation-ops,2026-06-19,1956,Era 3 diversified random
2026-06-23T23:44:57.860114+00:00,v8-high-priority-validation-ops,2026-06-23,1957,Era 3 diversified random
2026-06-26T23:58:41.240008+00:00,v8-high-priority-validation-ops,2026-06-26,1958,Era 3 diversified random
2026-07-01T00:01:44.644459+00:00,v8-high-priority-validation-ops,2026-06-30,1959,Era 3 diversified random
2026-07-03T23:49:43.593372+00:00,v8-high-priority-validation-ops,2026-07-03,1960,Era 3 diversified random
2026-07-07T23:46:38.001268+00:00,v8-high-priority-validation-ops,2026-07-07,1961,Era 3 diversified random
2026-07-14T23:32:52.894910+00:00,v8-high-priority-validation-ops,2026-07-10,1962,Era 3 diversified random
2026-07-17T23:22:59.797232+00:00,v8-high-priority-validation-ops,2026-07-14,1963,Era 3 diversified random
2026-07-17T23:32:11.977294+00:00,v8-high-priority-validation-ops,2026-07-17,1964,Era 3 diversified random
