Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2026-07-17;566559;4179640,00;0;0,00;0;0,00;1;111131,40;1;2185,80;78;116,40;82;77,70;124;37,40;1244;19,20;2565;11,10;5884;8,60;6630;9,10;34283;5,60;81522;3,70
2026-07-14;435710;2943210,00;0;0,00;0;238156,40;0;22264,40;4;1444,70;34;136,70;57;77,90;71;40,60;978;18,50;1483;12,90;3604;9,80;5003;8,90;22478;6,20;54578;4,00
2026-07-10;566076;4104997,50;0;0,00;2;149698,40;1;19992,50;1;1362,10;68;121,80;69;71,50;136;44,10;1291;17,00;2144;12,00;5239;9,50;7065;8,00;31363;5,80;75909;4,00
2026-07-07;423258;2837222,50;0;0,00;0;150509,80;0;21105,90;2;1217,40;22;125,80;93;45,70;66;46,60;1365;10,70;1405;11,80;3177;10,70;7633;4,90;21307;5,60;46857;4,40
2026-07-03;631791;4824980,00;1;80220498,00;0;233586,20;1;18197,60;19;1020,20;79;94,30;143;62,00;155;33,60;1799;15,20;3339;9,50;6941;8,20;9004;7,70;44374;5,00;93760;3,70
2026-06-30;489096;3462507,50;0;0,00;0;268526,70;0;15689,70;5;1628,90;36;167,80;122;63,30;61;58,90;1543;14,30;1688;13,60;3661;11,40;8195;6,20;26761;6,00;59292;4,40
2026-06-26;588188;4413467,50;0;0,00;1;216058,50;1;12624,10;4;1966,00;28;160,30;84;86,10;121;37,40;1227;20,10;2031;13,60;5280;8,70;7131;9,50;29462;6,80;79314;3,80
2026-06-23;458408;3169350,00;0;0,00;0;166281,50;0;23317,60;1;1650,60;15;163,90;77;71,70;63;55,50;1053;16,90;1418;13,30;3365;11,70;5874;7,50;22913;6,00;49062;4,70
2026-06-19;591502;4330920,00;0;0,00;0;0,00;1;110334,50;0;2398,50;38;185,30;118;57,90;76;56,10;1984;13,00;2307;13,30;4693;11,70;11190;5,50;34745;6,10;72028;4,60
2026-06-16;469996;3199375,00;0;0,00;0;0,00;0;85884,00;1;1612,40;30;131,70;130;48,90;100;44,30;1694;12,10;1682;12,30;3561;10,40;9539;5,60;25111;5,90;52513;4,30
2026-06-12;626473;4578072,50;0;0,00;1;212362,30;2;11453,60;11;602,30;112;55,70;248;33,40;230;23,60;2696;9,90;4364;6,70;9388;6,00;11147;5,80;47817;4,20;100413;3,30
2026-06-09;774274;6582407,50;1;174984088,00;0;148909,60;1;23201,70;10;1204,40;93;123,70;252;49,10;193;43,30;3114;11,60;4468;9,40;8721;9,20;15950;5,50;63148;4,70;122410;3,90
2026-06-05;972437;8563467,50;0;0,00;1;365514,60;1;21356,70;1;2157,40;110;134,10;202;71,20;191;44,10;2964;16,20;4542;12,00;10624;9,10;16157;7,80;68650;5,60;161725;3,70
